PB01	arabica
PR01	DPRU0194
PU01	DPRU1871.1
PC01	DPRU0579
PV01	SRR502982
PV02	DPRU2493.7
PV03	SRR3237762
PV04	SRR3138171
PV05	SRR3141016
PV06	SRR3141018
PF01	fenzliana
PG01	SRR502998
PG02	SRR3138115
PG03	SRR3138117
PG04	SRR3138121
PG05	SRR3138123
PS01	SRR502984
PS02	DPRU0582
PS03	SRR3138168
PS04	SRR3138169
PK01	DPRU1467.9
PM01	SRR3237746
PM02	SRR3141019
PM03	SRR3136174
PM04	SRR3136179
PM05	SRR3136181
PM06	SRR3136183
PT01	DPRU2327.16
PP01	SRR502985
PP02	SRR502994
PP03	SRR502992
PP04	SRR502990
PP05	SRR502987
PP06	SRR502986
PP07	SRR503000
PP08	SRR502983
PP09	SRR502997
PP10	SRR502995
PP11	SRR501836
PP12	SRR068361
PP13	SRR068359
PP14	SRR068360
PP15	Lovell
PP37	SRR3138129
PP38	SRR3138132
PP39	SRR3138145
PP40	SRR3138147
PD01	DPRU2578.2
PD02	TNP
PD03	DPRU1791.3
PD04	DPRU2374.12
PD05	DPRU1456.4
PD06	DPRU2301
PD07	DPRU1462.2
PD08	DPRU1207.2
PD09	DPRU2331.9
PD10	DPRU0210
PD11	SRR765861
PD12	SRR765850
PD13	SRR765838
PD14	SRR765679
PD16	SRR3141049
PD17	SRR3141073
PD18	SRR3141113
PD19	SRR3141181
PD20	SRR3141238
PD21	SRR3141248
